공연명,공연장소,공연시작일,공연종료일,위도,경도,주소,이미지,예매링크
［M＆G VIP EXPERIENCE］ 헨리 무디 내한공연,명화라이브홀,2025-07-23,2025-07-23,37.52160138,126.9124751,서울 영등포구 영등포동2가 94-139,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25006647_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25006647
［Play＆Stay］2025 Asia Top Artist Festival+Hotels,난지한강공원,2025-09-27,2025-09-28,37.56703991,126.8756078,서울 마포구 상암동 495-72,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25009281_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25009281
［What you left in me］ KANGHYUNWOO debut showcase,스페이스브릭,2025-08-02,2025-08-02,37.55120437,126.9196967,서울 마포구 서교동 395-15,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25009957_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25009957
〈KAGAMI Live In Seoul〉 카가미 내한공연,서보아트스페이스 보이드홀,2025-08-02,2025-08-02,37.562152,126.915344,서울 마포구 월드컵북로12안길 3,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25009638_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25009638
2025 10CM 단독공연 〈5.0〉,올림픽공원 핸드볼경기장,2025-08-09,2025-08-10,37.51740003,127.1263142,서울 송파구 방이동 88-2,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25008553_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25008553
2025 관악아트홀 기획공연 〈김창완밴드 콘서트〉,관악아트홀,2025-08-09,2025-08-09,37.46775513,126.9448337,서울 관악구 신림동 209-1,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25009521_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25009521
2025 국립창극단 〈송년음악회 - 어질더질〉,국립극장,2025-12-31,2025-12-31,37.55281923,126.99957,서울 중구 장충동2가 산 14-67,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25009663_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25009663
2025 김창옥 토크콘서트 시즌 5 - 서울,한전아트센터,2025-09-13,2025-09-13,37.48592888,127.0286741,서울 서초구 서초동 1355,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25009361_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25009361
2025 렛츠락 페스티벌,난지한강공원,2025-09-06,2025-09-07,37.56703991,126.8756078,서울 마포구 상암동 495-72,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25008415_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25008415
2025 렛츠락 페스티벌 - 블라인드,난지한강공원,2025-09-06,2025-09-07,37.56703991,126.8756078,서울 마포구 상암동 495-72,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25006820_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25006820
2025 렛츠락 페스티벌 - 얼리버드,난지한강공원,2025-09-06,2025-09-07,37.56703991,126.8756078,서울 마포구 상암동 495-72,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25007111_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25007111
2025 박강성 전국투어 콘서트 : MY LIFE - 서울,가빈아트홀,2025-08-23,2025-08-23,37.50968425,127.0555342,서울 강남구 삼성동 151-7,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25009552_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25009552
2025 박관영 X 김시온 FAN MEETING IN SEOUL,홍대 H-STAGE,2025-08-14,2025-08-14,37.55308872,126.924346,서울 마포구 서교동 344-12,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25010206_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25010206
2025 변진섭 전국투어 콘서트 : 변천사 시즌2 여름휴가 - 서울,가빈아트홀,2025-08-23,2025-08-23,37.50968425,127.0555342,서울 강남구 삼성동 151-7,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25009650_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25009650
2025 서울국제블루스페스티벌,노들섬 라이브하우스,2025-10-26,2025-10-26,37.51811975,126.9583277,서울 용산구 이촌동 302-146,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25009955_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25009955
2025 손태진 단독 팬미팅 〈You Are My SonShine〉,예스24 라이브홀,2025-08-02,2025-08-03,37.54573487,127.1079715,서울 광진구 광장동 319-33,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25008830_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25008830
2025 양세형＆양세찬 〈양세브로쇼〉,블루스퀘어 SOL트래블홀,2025-08-09,2025-08-10,37.54061157,127.0026398,서울 용산구 한남동 727-56,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25008334_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25008334
"2025 영탁 단독 콘서트 ""TAK SHOW4""",잠실 실내체육관,2025-08-08,2025-08-10,37.51617902,127.0759821,서울 송파구 잠실동 10,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25008721_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25008721
2025 유채훈 크로스오버 콘서트〈IL MONDO〉,코엑스아티움,2025-09-06,2025-09-07,37.50994347,127.0615459,서울 강남구 삼성동 159-9,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25010301_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25010301
2025 이상이 팬미팅 〈이상입니다〉,신한카드 SOL페이 스퀘어 라이브홀,2025-08-09,2025-08-09,37.55112586,126.9143961,서울 마포구 서교동 490,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25009824_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25009824
2025 정동하 팬미팅,무신사 개러지,2025-07-26,2025-07-26,37.5515747,126.919728,서울 마포구 서교동 368-22,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25009135_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25009135
2025 정세운 소극장 콘서트 〈Bittersweet〉 ENCORE,명화라이브홀,2025-08-02,2025-08-02,37.52160138,126.9124751,서울 영등포구 영등포동2가 94-139,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25008963_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25008963
