보관함역,위도,경도,주소,상세위치
서울역,37.55406889,126.9707034,서울 중구 봉래동2가 122-11,1호선 1번 출입구 주변
서울역,37.55406889,126.9707034,서울 중구 봉래동2가 122-11,"2,3번 출입구 복도 사이"
서울역,37.55406889,126.9707034,서울 중구 봉래동2가 122-11,"2,3번 출입구 복도 사이/화장실 주변"
시청역,37.5653454,126.9771982,서울 중구 정동 5-5,1번 출구 주변
시청역,37.5653454,126.9771982,서울 중구 정동 5-5,"2,3번 출구 주변"
종각역,37.57022799,126.9831508,서울 종로구 종로1가 54,4번 출구 주변
종각역,37.57022799,126.9831508,서울 종로구 종로1가 54,3번 출구 주변 게이트
종로3가역,37.57042084,126.9921533,서울 종로구 종로3가 10-5,2-1번 출입구 게이트 내부
종로3가역,37.57042084,126.9921533,서울 종로구 종로3가 10-5,"10,11,12,13번 출구 게이트 주변"
종로5가역,37.57097611,127.0015383,서울 종로구 종로5가 82-1,"중앙게이트 주변, ATM 옆"
종로5가역,37.57097611,127.0015383,서울 종로구 종로5가 82-1,"중앙게이트 주변, ATM 옆"
동대문역,37.57166941,127.0106338,서울 종로구 창신동 492-1,1번 출입구 주변
신설동역,37.57602997,127.0244567,서울 동대문구 신설동 76-5,우이신설 환승입구와 게이트 근처의 ATM 기기 주변
제기동역,37.5781735,127.0349495,서울 동대문구 제기동 65,2번  출구 계단 주변
청량리역,37.57997011,127.0477363,서울 동대문구 전농동 591-92,4번 출입구 계단 밑 
동묘앞역,37.57321666,127.0163642,서울 종로구 숭인동 117,3번 출입구 내부 에스컬레이터 주변
시청역,37.5653454,126.9771982,서울 중구 정동 5-5,8번 출구 → 1호선환승 방향
을지로입구역,37.56603552,126.9821953,서울 중구 을지로1가 100-1,중앙 게이트 주변
을지로입구역,37.56603552,126.9821953,서울 중구 을지로1가 100-1,"3,4번 출입구 방향 통로"
을지로3가역,37.5662915,126.9909844,서울 중구 을지로3가 347-3,게이트 통로 상가 주변
을지로4가역,37.5666405,126.9976321,서울 중구 을지로4가 267-1,"지하1층 1,2번 출구 방향 화장실 주변"
동대문역사문화공원역,37.56566441,127.0090042,서울 중구 을지로7가 112-3,1번 출입구 주변
동대문역사문화공원역,37.56566441,127.0090042,서울 중구 을지로7가 112-3,"1번 출입구, 상가 주변"
신당역,37.56567305,127.0194775,서울 중구 신당동 99,"2,3번 출구 사이 복도"
상왕십리역,37.56443667,127.0292724,서울 성동구 하왕십리동 946-14,"2,3,4번 출구 사이 복도"
왕십리역,37.56126836,127.0371034,서울 성동구 행당동 192,3번 출입구 주변
한양대역,37.55571599,127.0436398,서울 성동구 행당동 산 17,"2,4번 출입구 주변"
뚝섬역,37.54724155,127.0473873,서울 성동구 성수동1가 656-745,"1,2,7,8번 출입구 주변"
성수역,37.54458882,127.056067,서울 성동구 성수동2가 300-1,"1,4번 출입구 주변"
성수역,37.54458882,127.056067,서울 성동구 성수동2가 300-1,3번 출구 주변 상가 사이
건대입구역,37.54040752,127.0692029,서울 광진구 화양동 7-3,6번 출입구 주변
건대입구역,37.54040752,127.0692029,서울 광진구 화양동 7-3,2번 출입구 주변
건대입구역,37.54040752,127.0692029,서울 광진구 화양동 7-3,5번 출입구 주변
구의역,37.53717527,127.0861808,서울 광진구 구의동 245-24,"1,4번 출입구, 서비스센터 맞은편"
강변역,37.53511804,127.0947411,서울 광진구 구의동 546-6,화장실 맞은편
강변역,37.53511804,127.0947411,서울 광진구 구의동 546-6,3번 출입구 주변
잠실나루역,37.52071241,127.1038087,서울 송파구 신천동 15,"2,3번 출입구 주변"
잠실역,37.51331106,127.100231,서울 송파구 신천동 8,"1,2번 출입구 주변"
잠실역,37.51331106,127.100231,서울 송파구 신천동 8,"1,2번 출입구 주변"
잠실역,37.51331106,127.100231,서울 송파구 신천동 8,"1,2번 출입구에서 3,4번  출입구 방향 통로 내부"
잠실역,37.51331106,127.100231,서울 송파구 신천동 8,"1,2번 출입구에서 3,4번  출입구 방향 통로 내부"
잠실새내역,37.51162636,127.0863143,서울 송파구 잠실동 33,7번 출입구 주변
종합운동장역,37.51114466,127.0738494,서울 송파구 잠실동 122,5번 출입구 주변
종합운동장역,37.51114466,127.0738494,서울 송파구 잠실동 122,6번 출입구 주변
삼성역,37.50882274,127.0630232,서울 강남구 삼성동 172-66,"3,4,5,6번 출입구 방향 통로(역무실 맞은편)"
삼성역,37.50882274,127.0630232,서울 강남구 삼성동 172-66,"1,2,7,8번 출입구 방향 통로"
삼성역,37.50882274,127.0630232,서울 강남구 삼성동 172-66,"3,4번 출입구 방향 통로"
선릉역,37.50449737,127.0489628,서울 강남구 삼성동 172-66,"1,10번 출입구 방향 게이트 주변"
선릉역,37.50449737,127.0489628,서울 강남구 삼성동 172-66,5번 출입구에서 10번 출입구 방향
역삼역,37.50067442,127.0364695,서울 강남구 역삼동 804,"3,4번 출입구 통로"
강남역,37.49808634,127.0280014,서울 강남구 역삼동 858,"1,12번 출입구 게이트 주변"
강남역,37.49808634,127.0280014,서울 강남구 역삼동 858,"1,12번 출입구 통로 상가 맞은편"
교대역,37.49274317,127.013868,서울 서초구 서초동 1748-4,"지하1층 6,7번 출구 주변"
서초역,37.49184993,127.0076621,서울 서초구 서초동 1748-5,지하1층 8번 출구 주변
방배역,37.48145613,126.9975533,서울 서초구 방배동 912-14,지하1층 4번 출구 주변
사당역,37.47656223,126.9815586,서울 동작구 사당동 1129,"지하1층 13,14번 출구 방향 편의점 맞은편"
낙성대역,37.47709324,126.9635239,서울 관악구 봉천동 1693-39,"7,8번 출입구 주변"
서울대입구역,37.48128451,126.9527132,서울 관악구 봉천동 979-2,"5,6번 출입구 주변 화장실 주변"
봉천역,37.48247252,126.9416865,서울 관악구 봉천동 979-7,4번 출입구 주변　
신림역,37.48426714,126.9297454,서울 관악구 신림동 1467-10,"3,4번 출입구 주변(아이센터 주변)"
신림역,37.48426714,126.9297454,서울 관악구 신림동 1467-10,"1,8번 출입구 사이 벽면"
신대방역,37.48765046,126.9135075,서울 동작구 신대방동 643-1,1번 출입구 주변
구로디지털단지역,37.48526058,126.9014731,서울 구로구 구로동 810-3,6번 출입구 주변
대림역,37.49330994,126.894931,서울 구로구 구로동 1204,"1,2번 출입구 통로"
신도림역,37.50890848,126.8913125,서울 구로구 신도림동 460-26,1번 출입구 외부문 주변
신도림역,37.50890848,126.8913125,서울 구로구 신도림동 460-26,2번 출입구 주변
신도림역,37.50890848,126.8913125,서울 구로구 신도림동 460-26,1번 출입구 게이트 내부 상가 주변
문래역,37.51797572,126.8947788,서울 영등포구 문래동3가 68-1,2번 출입구 통로
영등포구청역,37.52583053,126.8966774,서울 영등포구 당산동3가 270-1,3번 출입구 게이트 내부 계단 주변
당산역,37.53478432,126.9026118,서울 영등포구 당산동6가 323-1,"1,2번 출입구 주변"
합정역,37.54991316,126.9144541,서울 마포구 서교동 393,"1,2,3,4번 출입구 주변"
홍대입구역,37.55687074,126.9237786,서울 마포구 동교동 165,"2,8번 출입구 주변"
홍대입구역,37.55687074,126.9237786,서울 마포구 동교동 165,"2,8번 출입구 주변"
홍대입구역,37.55687074,126.9237786,서울 마포구 동교동 165,"2,8번 출입구 게이트 맞은편 화장실 주변"
홍대입구역,37.55687074,126.9237786,서울 마포구 동교동 165,"2,8번 출입구 게이트 맞은편 화장실 주변"
홍대입구역,37.55687074,126.9237786,서울 마포구 동교동 165,2번에서 3번 출입구 복도 사이
신촌역,37.55519817,126.9369808,서울 마포구 노고산동 31-11,지하1층  백화점 연결통로 주변
신촌역,37.55519817,126.9369808,서울 마포구 노고산동 31-11,5번 출입구 게이트 주변
