공연명,공연장소,공연시작일,공연종료일,이미지,예매링크,위도,경도,주소
오랑주리-오르세미술관 특별전,예술의전당 한가람디자인미술관,2025-09-20,2025-11-21,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25009843_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25009843,37.47989132,127.0127033,서울 서초구 서초동 129-6
파리의 휴일,K현대미술관,2024-07-17,2025-08-31,http://ticketimage.interpark.com/rz/image/play/goods/poster/24/24010413_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=24010413,37.52434988,127.0391332,서울 강남구 신사동 666-7
"빛의 시어터 : 파라오의 이집트, 빛으로 깨어난 고대 문명",빛의 시어터,2025-05-01,2025-07-31,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25005286_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25005286,37.55507456,127.1109489,서울 광진구 광장동 22-1
알렉스 키토 사진전,그라운드시소 이스트,2025-05-23,2025-09-28,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25007036_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25007036,37.53661002,127.0878457,서울 광진구 자양동 870
조나단 베르탱 사진전,그라운드시소 이스트,2025-05-23,2025-09-28,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25007108_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25007108,37.53661002,127.0878457,서울 광진구 자양동 870
앤서니 브라운展,"예술의전당 한가람미술관 제3,4전시실",2025-06-01,2025-07-31,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25004208_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25004208,37.48045337,127.0142818,서울 서초구 서초동 710-1
요시고 사진전 2,그라운드시소 센트럴,2025-06-06,2025-07-31,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25007767_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25007767,37.55783141,126.9743994,서울 중구 남대문로5가 831
워너 브롱크호스트,그라운드시소 서촌,2025-06-01,2025-07-31,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25003628_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25003628,37.57783859,126.9729163,서울 종로구 통의동 35-17
에르베 튈레전:색색깔깔 뮤지엄,강동아트센터 아트랑1~3,2025-05-20,2025-07-27,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25007017_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25007017,37.551172,127.157407,서울 강동구 동남로 870
알렉스 키토 사진전,그라운드시소 이스트,2025-08-01,2025-09-28,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25008072_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25008072,37.53661002,127.0878457,서울 광진구 자양동 870
조나단 베르탱 사진전,그라운드시소 이스트,2025-08-01,2025-09-28,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25008098_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25008098,37.53661002,127.0878457,서울 광진구 자양동 870
미피와 마법 우체통,인사센트럴뮤지엄,2024-11-21,2025-08-17,http://ticketimage.interpark.com/rz/image/play/goods/poster/24/24016834_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=24016834,37.57437082,126.9835212,서울 종로구 관훈동 155-2
2025 아시아프,문화역서울284,2025-08-12,2025-09-07,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25008561_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25008561,37.55587561,126.9716273,서울 중구 봉래동2가 122-28
"취향가옥 2: Art in Life, Life in Art 2",디뮤지엄,2025-06-28,2026-02-22,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25009106_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25009106,37.54373339,127.0442167,서울 성동구 성수동1가 685-700
키즈워크룸,디뮤지엄,2025-06-28,2026-02-22,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25008638_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25008638,37.54373339,127.0442167,서울 성동구 성수동1가 685-700
캐서린 번하드전,예술의전당 한가람미술관 3층,2025-06-22,2025-09-07,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25008165_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25008165,37.49175202,127.0250579,서울 서초구 서초동 1332-4
2025년 7월~8월_어둠속의대화(DIALOGUE IN THE DARK),북촌 어둠속의대화,2010-01-20,2025-08-31,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25007658_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25007658,37.58333498,126.9848008,서울 종로구 가회동 1-29
워너 브롱크호스트,그라운드시소 서촌,2025-08-01,2025-09-14,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25006912_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25006912,37.57783859,126.9729163,서울 종로구 통의동 35-17
아니메쥬와 지브리展 : 스튜디오 지브리 탄생의 비밀,대원뮤지엄 팝콘D스퀘어,2025-06-10,2025-09-30,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25008106_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25008106,37.528709,126.963223,서울 용산구 한강대로23길 55 아이파크몰 테마파크 6층 1-1호
아라리오뮤지엄 인 스페이스,아라리오뮤지엄 인 스페이스,2025-01-01,2025-12-31,http://ticketimage.interpark.com/rz/image/play/goods/poster/24/24018541_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=24018541,37.57774384,126.988548,서울 종로구 원서동 229
아니메쥬와 지브리展,대원뮤지엄 팝콘D스퀘어,2025-06-06,2026-02-22,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25008105_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25008105,37.528709,126.963223,서울 용산구 한강대로23길 55 아이파크몰 테마파크 6층 1-1호
컨저링 유니버스 투어,덕스(DUEX) 홍대 1관,2025-07-26,2025-10-19,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25008754_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25008754,37.557938,126.925711,서울 마포구 양화로 186 LC TOWER B3
사랑의 단상(네이버 평점 4.8),뚝섬미술관,2024-11-08,2026-03-22,http://ticketimage.interpark.com/rz/image/play/goods/poster/24/24016400_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=24016400,37.54718531,127.0483435,서울 성동구 성수동1가 656-281
창경궁 야경투어,창경궁,2023-06-28,2025-12-31,http://ticketimage.interpark.com/rz/image/play/goods/poster/23/23008852_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23008852,37.57941654,126.9951999,서울 종로구 와룡동 2-1
덕수궁 야경투어,덕수궁,2020-01-22,2025-12-31,http://ticketimage.interpark.com/rz/image/play/goods/poster/20/20001127_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=20001127,37.56556387,126.9748948,서울 중구 정동 5-1
이자벨 드 가네 : 모먼츠,예술의전당 한가람미술관 제7전시실,2025-09-12,2025-10-12,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25010505_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25010505,37.4799625,127.0126513,서울 서초구 서초동 산 129-6
옥승철: 프로토타입,롯데뮤지엄,2025-08-15,2025-09-14,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25008595_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25008595,37.51264051,127.1025624,서울 송파구 신천동 29
