공연명,공연장소,공연시작일,공연종료일,이미지,예매링크,위도,경도,주소
［로터리 티켓］ 뮤지컬 〈브로드웨이 42번가〉,샤롯데씨어터,2025-07-01,2025-07-25,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25009169_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25009169,37.51064272,127.099714,서울 송파구 잠실동 40-1
［만원의행복］ 2025 가족뮤지컬 〈백설공주와 일곱난쟁이〉 - 중랑,중랑구민회관 대공연장,2025-07-26,2025-07-26,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25007464_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25007464,37.57371344,127.0849143,서울 중랑구 면목동 378-8
［만원의행복］ 2025애니메이션스토리 가족뮤지컬〈겨울이야기〉 - 중랑,중랑구민회관 대공연장,2025-10-11,2025-10-11,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25010636_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25010636,37.57371344,127.0849143,서울 중랑구 면목동 378-8
［만원의행복］2025 가족뮤지컬 〈신데렐라〉 - 서울 강동,강동구민회관 대강당,2025-08-16,2025-08-16,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25009307_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25009307,37.54571795,127.1411043,서울 강동구 천호동 41
［만원의행복］2025가족뮤지컬 〈겨울이야기〉 - 구로,구로구민회관,2025-08-30,2025-08-30,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25009306_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25009306,37.49712534,126.8895926,서울 구로구 구로동 102
［만원의행복］2025가족뮤지컬〈백설공주〉 - 서울 강서,강서구민회관 우장홀,2025-09-06,2025-09-06,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25009322_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25009322,37.55343651,126.8436485,서울 강서구 내발산동 산 4-5
［만원의행복］2025가족뮤지컬〈프린세스 공주뮤지컬쇼〉 - 구로,구로구민회관,2025-10-11,2025-10-11,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25010628_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25010628,37.49712534,126.8895926,서울 구로구 구로동 102
［서울］ 가족뮤지컬 〈읽으면서 바로 써먹는 어린이 감정표현〉 - 관악,관악아트홀,2025-07-26,2025-07-27,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25007860_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25007860,37.46775513,126.9448337,서울 관악구 신림동 209-1
［서울］ 시끌시끌 경연대회 클래식 VS 재즈,CKL스테이지,2025-08-02,2025-08-03,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25009497_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25009497,37.5685816,126.9813186,서울 중구 다동 10
［서울］ 싱어롱 콘서트 뮤지컬 ＇Live Show＇ 〈무지개 물고기〉 - 강서,강서구민회관 우장홀,2025-08-09,2025-08-09,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25009768_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25009768,37.55343651,126.8436485,서울 강서구 내발산동 산 4-5
［서울］뮤지컬 위시캣〈소원을 노래해!〉,유니버설아트센터,2025-08-09,2025-08-24,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25007579_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25007579,37.55090878,127.0879756,서울 광진구 능동 25
［서울］뮤지컬 한글용사 아이야 새로운 이야기 〈달라도 친구야!〉,유니버설아트센터,2025-07-12,2025-08-03,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25006826_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25006826,37.55090878,127.0879756,서울 광진구 능동 25
［신도림］뮤지컬 한글용사 아이야 새로운 이야기 〈달라도 친구야!〉,디큐브 링크아트센터,2025-09-13,2025-09-21,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25010160_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25010160,37.50912673,126.8895885,서울 구로구 신도림동 692
［피크닉#17］ 뮤지컬〈쇼맨_어느 독재자의 네 번째 대역배우〉,국립정동극장,2025-07-26,2025-07-29,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25008705_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25008705,37.56585893,126.9727758,서울 중구 정동 8-11
［피크닉#19］ 뮤지컬 〈웨이스티드〉,플러스씨어터,2025-08-27,2025-08-29,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25009922_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25009922,37.58082572,127.0039715,서울 종로구 동숭동 1-144
［해피 썸머 와글와글］  가족매지컬 〈마술고양이〉,마포아트센터 플레이맥,2025-07-26,2025-08-17,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25007143_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25007143,37.54993677,126.945627,서울 마포구 대흥동 30-3
［NOL 스페셜 스테이지］ 뮤지컬 〈맘마미아!〉,LG아트센터 서울 LG SIGNATURE 홀,2025-09-13,2025-09-14,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25010453_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25010453,37.565202,126.829652,서울 강서구 마곡중앙로 136
